jvm_short,jvm_descr,jvm_major_version,gc_descr,gc_short,framework,memflag,compl_req,failed_req,req_per_sec,time_per_req_avg,cpus,concurrency,duration
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,2858,0,285.59,3.502,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,2548,0,254.77,3.925,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,2763,0,276.26,3.620,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Akka,-Xmx128m -Xms128m,2639,0,263.79,3.791,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,6392,0,639.00,1.565,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,13849,0,1384.55,0.722,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,5737,0,573.59,1.743,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Quarkus,-Xmx128m -Xms128m,14363,0,1436.30,0.696,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,23357,0,2335.68,0.428,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,26465,0,2644.75,0.378,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,19433,0,1943.29,0.515,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Helidon SE,-Xmx128m -Xms128m,26630,0,2663.00,0.376,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,9878,0,987.60,1.013,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,10675,0,1067.18,0.937,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,9357,0,935.66,1.069,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot,-Xmx128m -Xms128m,9766,0,976.58,1.024,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,8445,0,844.50,1.184,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,7046,0,704.60,1.419,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,8366,0,836.58,1.195,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Micronaut,-Xmx128m -Xms128m,6383,0,638.17,1.567,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,7692,0,769.20,1.300,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,9498,0,949.80,1.053,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,6257,0,625.70,1.598,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Open Liberty,-Xmx128m -Xms128m,10886,0,1088.58,0.919,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,12501,0,1250.10,0.800,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,13615,0,1361.50,0.734,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,13608,0,1360.78,0.735,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Spring Boot WebFlux,-Xmx128m -Xms128m,13596,0,1358.97,0.736,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,84259,0,8425.88,0.119,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,68752,0,6875.19,0.145,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,85483,0,8548.30,0.117,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,64668,0,6466.79,0.155,4,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,45891,0,4589.08,0.218,1,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,57115,0,5711.50,0.175,1,4,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,47390,0,4738.99,0.211,4,1,10
openj9_8_222,OpenJ9 8,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,61050,0,6105.00,0.164,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Akka,-Xmx512m -Xms512m,2621,0,261.58,3.823,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Akka,-Xmx512m -Xms512m,2444,0,244.14,4.096,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Akka,-Xmx512m -Xms512m,2679,0,267.85,3.733,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Akka,-Xmx512m -Xms512m,2424,0,242.35,4.126,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Quarkus,-Xmx512m -Xms512m,7036,0,703.60,1.421,1,1,10
